Cod Transaccion;Num. unidades;Valor unidad para las operaciones del dia t;Valor fondo al cierre del dia t;Num. Invers.;Rentab. dia;Rentab. mes;Rentab. sem;Rentab. ano
130;48009.974;14582.94;700126637.60;3;0.077087;161.79347;59.894268;40.21365
131;242493.671;26157.99;6343146293.22;162;-1.885311;156.65515;56.750458;37.17635
132;7979427.266;21224.59;169360066193.29;9;1.226545;12.792866;23.390968;19.606585
133;4523789.394;18752.83;84833850752.78;49;0.224309;11.671312;22.163568;18.416348
134;4328291.798;20114.79;87062700164.14;47;0.522894;12.006029;22.529976;18.77196
135;7355425.248;18575.69;136632117545.40;1050;-0.269425;11.118963;21.560183;17.831657
136;22041180.591;19097.43;420929909362.27;35;0.72294;12.230032;22.774746;19.008442
137;134728.917;27214.00;3666512925.83;263;15.732493;15.750148;16.964312;17.466988
138;97.215;6148440.55;597721570.91;1;66.95378;31.038586;27.864775;14.307627
139;14559310.706;12832.31;186829554578.54;337;15.708948;16.589445;17.644571;17.6513
140;145053.681;15651.88;2270362735.80;4;-1.54403;8.633395;27.631353;2.306737
141;412373.508;19047.97;7854876960.49;2;0.031333;10.377528;29.680656;3.95057
142;1697777.791;15624.97;26527730499.27;12;-0.959105;9.28071;28.392475;2.917312
143;216811.274;21411.45;4642243264.95;70;-1.93017;8.205901;27.129301;1.904196
144;435642.288;12610.32;5493588099.18;1;0.106599;-12.516581;3.485361;-11.319288
145;358756.717;12505.00;4486251005.01;57;-1.615212;-14.02836;1.698149;-12.851393
146;442833.096;12884.70;5705769477.03;15;-1.178127;-13.643855;2.152069;-12.46233
147;933754.837;13358.25;12473332638.82;13;-0.638624;-13.170424;2.711929;-11.982426
148;415007.231;9093.34;3773800799.27;3;-0.867381;-0.962046;7.431255;-12.091649
149;124462.101;9199.12;1144941860.24;3;-1.452853;-1.549099;6.794384;-12.613089
150;153002.512;9066.67;1387223538.34;41;-1.839346;-1.936938;6.373577;-12.957567
151;292787.389;9754.81;2856086246.03;2;0.12397;0.032015;8.509673;-11.208668
152;602655.815;13591.51;8191005480.42;34;2.973969;7.348695;23.15724;18.11441
153;1155218.928;13736.16;15868274382.12;9;3.381767;7.775751;23.646622;18.584114
154;412760.442;13384.95;5524778147.62;79;2.368257;6.714822;22.43027;17.417233
155;533824.904;10815.33;5773489888.63;3;4.415489;8.857694;0.0;0.0
156;296218.98;13523.85;4006022344.60;9;2.771275;7.13738;22.914688;17.880938
157;1904630.545;10101.88;19240352438.55;7;6.71623;-20.16549;-7.318759;-15.603566
158;1025480.586;9968.04;10222027479.59;99;5.927797;-20.75794;-8.006454;-16.228937
159;3573166.315;13469.82;48129922799.94;5;5.203533;8.423485;26.132769;22.359133
160;956776.366;14499.62;13872891823.27;7;4.943154;8.153846;25.819618;22.055286
161;1901601.219;14870.22;28277236617.02;4;5.992449;9.23957;27.081821;23.27993
162;3529357.686;14862.48;52454993112.04;43;4.943158;8.154161;25.81948;22.054644
163;2044744.727;14706.02;30070056303.85;183;3.914383;7.090041;24.994982;21.352585
164;104198330.676;11484.91;1196708963738.56;1286;-3.012317;42.616398;7.979454;4.051581
165;1305479.752;8008.28;10454647086.78;19;-0.119834;-24.408371;-8.476504;-16.743193
166;4997323.066;12674.97;63340922313.81;4;13.939476;15.880881;17.280172;17.589617
167;6654320.536;21476.86;142913882965.90;12171;3.963856;9.975706;11.318902;11.254717
168;14821255.72;13356.10;197954141115.03;5;7.13441;13.875137;15.637679;15.483797
169;30362745.272;21821.22;662552083308.63;1578;4.166016;10.17521;11.531894;11.458971
170;11461488.72;24862.41;284960277220.17;2;6.601497;12.489079;13.775646;13.72846
171;13944590.89;21690.63;302466985739.68;2882;4.064838;10.074926;11.402925;11.344329
172;16435487.282;22257.69;365816045340.90;480;4.623755;10.627717;11.967181;11.894912
173;40689194.052;21949.20;893095121820.83;303;4.26739;10.27536;11.627178;11.555371
174;6498950.756;172901.63;1123429152071.07;81134;7.60985;9.408581;12.140474;11.08655
175;4648806.77;178444.42;829553612207.47;2020;7.979226;9.809349;12.546297;11.486463
176;1463149.179;184774.79;270353078855.67;837;8.45787;10.29843;13.037796;12.003221
177;10501069.484;12662.09;132965494926.03;9;8.994685;11.023143;14.270387;13.081621
178;7704278.022;182812.36;1408437261962.72;522;8.351139;10.16105;12.91868;11.862499
179;226668.422;190505.73;43181633090.45;3;8.994685;10.804229;13.537065;12.470977
180;10;10022.32;100223.17;1;9.541252;0.0;0.0;0.0
181;30409085.195;11019.63;335096887091.92;8;9.265085;11.190793;14.636182;0.0
182;761692.55;189042.73;143992439211.07;18;8.725617;10.512173;13.25798;12.196081
183;3098694.503;220470.33;683170194863.92;37;10.084373;12.057495;15.419987;14.223895
184;1628617.258;198404.53;323125046636.18;83;9.265085;11.217889;14.494617;13.386086
185;6516999.477;175803.79;1145963239781.20;12585;7.820612;9.648763;12.381058;11.325603
186;4157606.074;193045.10;802605461471.52;45;8.994685;11.04616;13.772781;12.701392
187;4818991.361;12602.44;60731051477.28;28;9.348888;10.944727;12.81865;12.305654
188;18436767.506;12465.95;229831839617.34;91;8.811126;10.452436;12.285604;11.764253
189;14399707.65;12618.90;181708503186.41;12;9.402956;11.04019;12.895153;12.377282
190;45312259.487;12701.30;575524528093.47;7;9.674098;11.279165;13.147191;12.638156
191;5642467.413;13042.86;73593918916.77;15;10.606091;12.22476;14.052339;13.503826
192;8542727.817;12398.45;105916573823.15;1435;8.490993;10.143879;12.023118;11.472026
193;489721.173;13777.91;6747336090.33;58;9.674098;11.279165;13.582695;12.847326
194;2050341.349;12531.09;25693006836.99;428;9.079346;10.669638;12.54239;12.016842
195;10207169.483;12500.99;127599764563.30;18;8.918256;10.515453;12.381767;11.885812
196;19970124.079;12662.78;252877288365.52;9;9.56548;11.142187;13.033226;12.51351
197;5542761.868;12417.05;68824767852.17;89;8.597495;10.186664;12.06181;11.536057
198;5988177.428;12546.51;75130749849.84;7;9.619762;11.230536;13.100759;12.57974
199;152335.447;12422.69;1892416645.72;285;1.208168;112.4093;54.512142;28.602526
200;221178.729;12591.93;2785067899.22;29;1.45684;112.93012;54.891346;28.952402
201;58318.087;10582.91;617174870.35;1;3.232263;116.648735;57.598743;31.187368
202;143167.409;12550.66;1796846058.61;3;2.210222;114.5081;56.04021;29.889372
203;406405.48;12914.18;5248391960.81;11;2.008232;114.08503;55.73219;29.632843
204;100928.208;11977.24;1208841431.54;1;2.718707;115.57311;56.815613;30.535152
205;1032449.228;12730.34;13143433059.45;1;9.119678;10.764045;16.353197;13.934084
206;3960386.561;20295.29;80377201166.25;197;8.582249;10.24311;15.82051;13.406193
207;1008584.429;17737.64;17889906731.10;10;9.390387;11.620148;18.539728;15.844088
208;964834.357;19461.10;18776736844.44;2232;8.050074;9.751249;15.299873;12.890514
209;2522722.013;15866.32;40026309100.33;59;8.796586;10.450883;16.015352;13.607836
210;2401169.063;19897.60;47777493659.03;501;8.31551;10.003671;15.55555;13.13975
211;3025875.954;13423.76;40618632194.56;7;10.210613;12.457046;19.428362;16.712568
212;40;10015.80;400631.88;1;8.588631;0.0;0.0;0.0
213;4456626.047;20825.33;92810716595.31;41;8.796586;10.450882;16.035404;13.617654
214;17104.169;16830.15;287865688.74;17;9.119682;10.764047;16.35321;13.93409
215;168495.439;12235.12;2061561680.24;15;5.604543;-12.446854;2.369108;-13.84493
