Cod Transacción;Núm. unidades;Valor unidad para las operaciones del día t;Valor fondo al cierre del día t;Núm. Invers.;Rentab. dia;Rentab. mes;Rentab. sem;Rentab. año
394;800,048.399;$18,118.94;$14,496,025,443.95;161;8.937331;9.974849;14.771329;13.432934
395;78,448,351.588;$20,185.25;$1,583,499,783,020.93;190;8.661794;10.634624;14.427954;12.941429
396;53,589,112.07;$12,475.30;$668,540,322,526.41;150;8.406049;10.51251;11.95724;11.920815
397;352,899.365;$27,863.51;$9,833,016,102.71;147;8.107947;9.684835;16.103405;14.302608
398;1,565,592.144;$47,269.41;$74,004,624,300.38;98;9.717259;10.225677;13.254995;11.795179
399;3,167,500.333;$49,979.94;$158,311,475,593.77;7;10.598283;11.084979;14.168195;12.69382
400;1,168,599.103;$13,075.92;$15,280,504,154.00;19;10.267075;10.760159;13.981047;12.449454
401;7,998,632.167;$48,993.83;$391,883,610,184.41;304;10.267075;10.755303;13.811281;12.347364
402;8,313,825.902;$48,950.28;$406,964,093,116.21;3;10.156892;10.640558;13.695549;12.252908
403;660,276.366;$47,207.75;$31,170,160,240.89;2017;9.717259;10.198389;13.247183;11.783496
404;2,699,922.573;$47,768.89;$128,972,294,229.70;8;9.827003;10.311299;13.35984;11.923904
405;2,519,781.296;$47,172.90;$118,865,391,060.39;37;9.607624;10.103131;13.130894;11.696838
406;162,261.888;$47,117.04;$7,645,300,474.38;4;9.170176;10.053085;14.163642;12.025486
407;257,877.043;$49,133.16;$12,670,314,881.15;20;10.04682;10.926709;14.012217;12.434974
408;1,782,320.998;$45,492.10;$81,081,527,547.42;1303;9.170177;9.644915;12.694914;11.233752
409;13,786,371.336;$51,613.34;$711,559,720,920.27;86;11.041437;11.531518;14.614573;13.138145
410;2,368,746.224;$49,306.50;$116,794,580,895.29;8;10.377367;10.87692;13.942653;12.495441
411;1,683,540.212;$12,404.33;$20,883,185,657.76;164;9.388682;9.870904;12.940544;11.492102
412;363,035.805;$16,803.60;$6,100,309,455.58;20;3.836416;16.977016;22.303946;13.565964
413;23,923,515.441;$4,319.25;$103,331,679,196.86;93;9.050283;9.434743;19.115946;15.843106
414;93,486.079;$30,997.52;$2,897,836,269.78;103;-3.241338;4.598191;20.383598;-3.245188
415;1,565,089.187;$2,393.88;$3,746,640,617.69;176;-3.437601;64.76622;52.02269;30.0748
416;276,259.245;$11,511.79;$3,180,237,838.40;13;13.868708;13.649512;13.642394;10.278294
